date,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow
2023-10-12,0.007428666666666667,0.0,0.0,13435568542.0,2.123,
2023-10-13,0.006531666666666667,0.0,0.0,13245585748.0,1.856,
2023-10-14,0.005428666666666666,0.0,0.0,13231409127.0,1.826,
2023-10-15,0.004726333333333333,0.0,0.0,12829423731.0,1.825,
2023-10-16,0.005571666666666667,0.0,0.0,13404376740.0,1.538,
2023-10-17,0.001686,0.0,0.0,13244994788.0,1.128,
2023-10-18,0.0020656666666666666,0.0,0.0,13684428637.0,0.972,
2023-10-19,-0.003916666666666666,0.0,0.0,13432365579.0,1.128,
2023-10-20,0.0028933333333333333,0.0,0.0,13912117711.0,0.908,
2023-10-21,0.0037806666666666666,0.0,0.0,14523870427.0,0.769,
2023-10-22,0.006967999999999999,0.0,0.0,15226737984.0,0.68,
2023-10-23,0.009878666666666666,0.0,0.0,15001607684.0,0.714,
2023-10-24,0.015129666666666666,0.0,0.0,15276913322.0,0.911,
2023-10-25,0.013025,0.0,0.0,15791591375.0,0.866,
2023-10-26,0.012729333333333334,0.0,0.0,16308389897.0,0.799,
2023-10-27,0.012364,0.0,0.0,16427145230.0,0.909,
2023-10-28,0.015109333333333334,0.0,0.0,16093217331.0,0.958,
2023-10-29,0.01569766666666667,0.0,0.0,16193518954.0,0.961,
2023-10-30,0.012058,0.0,0.0,16920567312.0,0.849,
2023-10-31,0.011483333333333333,0.0,0.0,16626662575.0,0.992,
2023-11-01,0.015514666666666668,0.0,0.0,16776344060.0,0.888,
2023-11-02,0.012908333333333332,0.0,0.0,16977546660.0,0.817,
2023-11-03,0.009315333333333333,0.0,0.0,16669744849.0,0.987,
2023-11-04,0.011248,0.0,0.0,16460975373.0,1.051,
2023-11-05,0.015533,0.0,0.0,16586309978.0,0.888,
2023-11-06,0.013799,0.0,0.0,16936031940.0,0.869,
2023-11-07,0.011935666666666666,0.0,0.0,16982051726.0,0.913,
2023-11-08,0.011789666666666665,0.0,0.0,17441042447.0,0.756,
2023-11-09,0.017715333333333333,0.0,0.0,17874687854.0,0.761,
2023-11-10,0.020429,0.0,0.0,17511765234.0,1.0,
2023-11-11,0.019814,0.0,0.0,17558725091.0,0.924,
2023-11-12,0.026617333333333337,0.0,0.0,17593333619.0,0.981,
2023-11-13,0.020048,0.0,0.0,17563078207.0,0.977,
2023-11-14,0.013079333333333332,0.0,0.0,17433119675.0,1.09,
2023-11-15,0.011157666666666668,0.0,0.0,16648516779.0,1.31,
2023-11-16,0.012292666666666667,0.0,0.0,17843190495.0,0.811,
2023-11-17,0.009619333333333334,0.0,0.0,17350033870.0,1.385,
2023-11-18,0.008768,0.0,0.0,16934805115.0,1.212,
2023-11-19,0.009001666666666666,0.0,0.0,16965745159.0,1.117,
2023-11-20,0.010313000000000001,0.0,0.0,17515329939.0,0.94,
2023-11-21,0.008700666666666667,0.0,0.0,17775786709.0,0.835,
2023-11-22,0.00979,0.0,0.0,16834880227.0,1.068,
2023-11-23,0.011153333333333335,0.0,0.0,17550733996.0,0.776,
2023-11-24,0.011004666666666668,0.0,0.0,17808443491.0,0.839,
2023-11-25,0.010536666666666666,0.0,0.0,17860495711.0,0.777,
2023-11-26,0.010460333333333334,0.0,0.0,17786951465.0,0.816,
2023-11-27,0.008701666666666667,0.0,0.0,17877336051.0,0.974,
2023-11-28,0.008398999999999998,0.0,0.0,17941217400.0,1.205,
2023-11-29,0.007690333333333334,0.0,0.0,18287488821.0,0.679,
2023-11-30,0.008111333333333333,0.0,0.0,18310176763.0,0.808,
2023-12-01,0.011189,0.0,0.0,17925283827.0,0.931,
2023-12-02,0.010534000000000002,0.0,0.0,19480416842.0,0.593,
