timestamp,open,high,low,close,volume,ema_20,ema_50,ema_200,rsi_14,macd,macd_signal,macd_hist,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_width,atr_14,volume_sma_20,volume_ratio,above_ema200,above_ema50,ema_bullish,macd_bullish,rsi_oversold,rsi_overbought,high_volume,future_return_1h,future_return_4h,future_return_24h,hit_tp_before_sl,signal
2025-10-06,123510.453125,126198.0703125,123196.046875,124752.53125,72568881188.0,117291.4055615727,115267.74095002982,107312.93439019253,72.7485150850792,2436.566572464435,1147.850477210911,1288.716095253524,89.87132788292863,90.24560837671382,125472.37053158162,106500.1888434184,115986.2796875,0.16357263755057644,2637.4734695983166,54087990004.55,1.3416819737966847,1,1,1,1,0,1,0,-9.2488,-13.6782,-27.5472,0,HOLD
2025-10-07,124752.140625,125184.0234375,120681.96875,121451.3828125,76149412513.0,117687.59387118481,115510.23670934238,107453.61546902146,61.55950980601831,2450.2762952903868,1408.3356408268064,1041.9406544635804,84.14698451412461,87.65760806961661,126031.51797266917,106439.32890233085,116235.42343750001,0.16855609495734386,2770.65784230558,54869059330.40001,1.3878388556737966,1,1,1,1,0,0,0,-8.7636,-9.3714,-25.215,0,HOLD
2025-10-08,121448.3515625,124167.09375,121119.1796875,123354.8671875,65354305286.0,118227.33418702435,115817.86927711328,107611.83687915558,64.91078396317018,2584.9390619455953,1643.6563250505642,941.2827368950311,82.77457010709082,85.59762750138135,126844.66398597289,106247.94929527714,116546.30664062501,0.1767255890330914,2790.461858033753,55663910993.10001,1.1740875572702965,1,1,1,1,0,0,0,-6.6354,-9.9882,-26.0726,0,HOLD
2025-10-09,123337.0703125,123739.34375,119812.03125,121705.5859375,74653009425.0,118558.5962584982,116048.7601265402,107752.07318819384,60.02761015396441,2529.419488106272,1820.8089576617058,708.6105304445664,76.95813934447804,81.29323132189782,127388.6866106583,106305.59932684171,116847.14296875,0.18043305765255319,2871.6654753170565,57455137765.80001,1.2993269588753291,1,1,1,1,0,0,0,-5.2869,-8.269,-21.6784,0,HOLD
2025-10-10,121704.7421875,122509.6640625,104582.4140625,113214.3671875,153125018868.0,118049.62206126028,115937.60746226412,107806.42437226654,42.35932642649693,1779.7337736953486,1812.5939208684345,-32.86014717308581,65.9853086546498,75.23933936873955,127378.6740623778,106064.85250012222,116721.76328125001,0.182603663302261,3947.0643699372667,63968166228.500015,2.393769086970912,1,0,1,0,0,0,1,-0.0845,1.1112,-14.3843,0,HOLD
2025-10-11,113236.4296875,113429.7265625,109760.5625,110807.8828125,110236934340.0,117359.93260899739,115736.44178972435,107836.28963037833,38.86768464181549,980.121041336999,1646.0993449621476,-665.9783036251486,47.67259433623478,63.53868077845421,127464.88731367479,105528.81815507519,116496.85273437499,0.18829752601657082,3927.214347977462,68355220335.85001,1.612706883225193,1,0,1,0,0,0,1,-0.0223,2.9885,-13.7686,1,HOLD
2025-10-12,110811.515625,115805.0625,109715.5390625,115169.765625,93710414091.0,117151.34527718811,115714.21919502929,107909.25954077259,47.340588331586815,690.4308224939741,1454.9656404685131,-764.534817974539,39.238184803356745,50.96536259808044,127464.5247298934,105771.30652010659,116617.915625,0.1860196016497513,4081.6649972290716,69506533110.85,1.3482245466271394,1,0,1,0,0,0,0,-6.0639,-1.922,-17.0571,0,HOLD
2025-10-13,115161.6796875,116020.484375,113821.1875,115271.078125,71582026739.0,116972.27221507496,115696.84111385167,107982.51146698381,47.522519923453906,463.6793026312662,1256.7083729010637,-793.0290702697976,42.40982254856746,43.106867229386324,127432.40300240286,106129.08606009712,116780.74453124999,0.18242148590348362,3947.210131355567,70725041783.85002,1.0121171360742225,1,0,1,0,0,0,0,-7.637,-4.5248,-17.4989,0,HOLD
2025-10-14,115264.8828125,115502.8828125,110029.484375,113118.6640625,92212917403.0,116605.26191482972,115595.73613144572,108033.6174629591,44.04123865171193,109.03833703933924,1027.1743657287188,-918.1360286893796,45.97326012250958,42.540422491477926,127436.63439957915,106103.85778792082,116770.24609374999,0.18269017429774992,4056.223581794455,72933457899.75002,1.2643431431668903,1,0,1,0,0,0,0,-5.2338,-4.2549,-17.2246,0,HOLD
2025-10-15,113113.96875,113622.3828125,110235.8359375,110783.1640625,72574132855.0,116050.77640508403,115407.00781501648,108060.97613559135,40.56853509107852,-356.3645657695888,750.4665794290573,-1106.831145198646,39.20871638660828,42.530599685895105,127284.61451238452,106429.26517511546,116856.93984374999,0.1784690696603458,4008.389531309137,72785731828.3,0.9970928509202991,1,0,1,0,0,0,0,-1.9104,-1.1076,-16.4552,0,HOLD
2025-10-16,110782.171875,111990.8125,107537.03125,108186.0390625,87306423067.0,115301.75380102842,115123.83256981976,108062.22054282427,37.06821673423925,-924.1133977051359,415.5505840022187,-1339.6639817073547,28.282933425473335,37.82163664486373,127448.08694006625,106113.11384118375,116780.600390625,0.18269278482486076,4040.203225501342,74264138534.20001,1.175620222495327,1,0,1,0,0,0,0,2.2211,1.7359,-18.3713,0,BUY
2025-10-17,108179.1328125,109235.8046875,103598.4296875,106467.7890625,99703051669.0,114460.42382593048,114784.37988325821,108046.35555297032,34.921432238543495,-1495.4680278802261,33.34686162572973,-1528.8148895059558,19.351410273675683,28.94768669525243,127821.153434252,105418.63172199797,116619.89257812499,0.192098631005395,4154.286923679818,77933888972.15001,1.2793285820065938,0,0,0,0,0,0,0,1.8871,3.9184,-16.0526,1,HOLD
